,username,name,avatar,rating,total_points,results
1496,zhigalko_sergei,Sergei Zhigalko,https://images.chesscomfiles.com/uploads/v1/user/26572336.93bb4ad6.200x200o.baa9688f1b6f.jpeg,2882,433.5,"[7.5, 7.0, 7.0, 8.0, 7.0, 7.0, '-', 8.0, 7.0, 6.5, 8.0, 8.5, 8.0, 7.5, 6.0, 8.0, 7.0, 7.5, 8.0, 8.0, 7.5, '-', 8.0, 8.0, 7.0, '-', 8.5, 8.0, 8.0, 7.0, 7.0, 7.5, 6.5, 8.0, 7.5, 7.0, 9.0, 8.0, 9.0, 8.5, 6.5, 8.0, 7.5, 8.0, 8.0, 7.5, 7.0, 6.5, 7.5, 6.5, 8.5, 8.0, 7.5, 8.0, 8.0, 7.5, 8.0, 8.5, 7.5, 7.5, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
667,hikaru,Hikaru Nakamura,https://images.chesscomfiles.com/uploads/v1/user/15448422.da101127.200x200o.64ebfda98bc2.png,3271,407,"[9.5, 8.0, 8.5, 7.5, 9.0, 9.5, '-', 9.5, 9.5, 5.5, '-', '-', 10.0, 9.5, 9.5, 8.0, 9.0, 9.5, 9.0, 9.0, 9.5, 7.0, '-', '-', 9.5, 7.5, '-', '-', 8.5, 8.0, 9.0, 8.5, 9.5, 5.5, 9.5, 7.0, 8.5, 9.5, 9.5, '-', '-', 9.0, '-', '-', '-', 10.0, 9.0, 5.0, 9.0, 8.0, 5.0, 8.5, 8.5, 7.5, 10.0, 9.0, 9.5, 10.0, 3.0, 9.5, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
428,fairchess_on_youtube,Dmitry Andreikin,https://images.chesscomfiles.com/uploads/v1/user/14498226.8202a36e.200x200o.1fe2de7e5eaa.jpeg,3039,402.5,"['-', '-', 9.0, 10.0, 8.0, 9.0, '-', 9.0, 8.0, 8.5, '-', 9.0, 9.0, 9.0, 8.0, 8.5, 7.5, 6.0, 9.0, 9.5, 0.0, '-', 7.5, 8.0, 8.5, 7.5, 9.5, 8.5, 8.0, 6.0, 8.0, 9.0, 8.0, 8.5, 8.5, 8.0, 7.5, 9.0, 7.5, 9.0, '-', 8.0, '-', '-', 8.5, 9.0, 9.0, 7.5, 9.0, 5.0, 9.5, 8.0, 5.0, 8.0, '-', 7.5, '-', 9.0, 8.0, 8.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
1068,oleksandr_bortnyk,Oleksandr Bortnyk,https://images.chesscomfiles.com/uploads/v1/user/28168290.0998f38b.200x200o.c9fdc77c16cd.jpeg,3075,385,"[9.0, 8.0, 9.0, 7.0, 5.5, '-', '-', 7.0, 8.5, 9.0, '-', 8.0, 6.0, 8.5, '-', 7.5, 8.0, 8.0, 9.0, 8.0, 7.5, 8.5, 8.5, 8.0, 9.0, 8.0, 7.5, 8.5, 9.5, 7.5, 5.0, 5.5, 9.0, 9.0, 8.5, 7.5, 9.0, 8.5, 6.5, 10.0, 9.5, 8.5, 7.5, 8.0, '-', '-', 6.5, 9.0, '-', '-', '-', 9.5, '-', 8.5, '-', '-', 8.0, 9.0, 6.0, 8.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
733,jcibarra,José Carlos Ibarra Jerez,https://images.chesscomfiles.com/uploads/v1/user/10956296.cf7a03bb.200x200o.f12d860b0cff.jpeg,2901,374,"[7.5, 8.0, 5.5, 7.0, '-', 8.0, '-', 8.0, 7.5, 6.5, 6.0, 8.5, 8.5, 7.5, 8.0, 7.0, '-', 7.0, 8.0, 7.0, 7.5, 7.0, 8.0, 8.0, 7.0, 7.0, '-', '-', 8.5, 8.0, 8.0, '-', '-', '-', 7.5, 7.0, 8.0, 8.0, 8.0, 7.5, '-', 8.0, 8.0, 8.0, 8.0, 9.0, '-', 8.5, 8.0, 8.0, 7.5, 8.0, 7.0, 7.0, 8.0, 8.0, 8.5, '-', 7.0, 7.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
1358,tigrvshlyape,Gata Kamsky,https://images.chesscomfiles.com/uploads/v1/user/28211618.3c02fb44.200x200o.3bf58e7f2a7c.jpeg,2975,370.5,"[7.5, 8.0, 8.0, 5.5, 8.5, 8.5, '-', 7.5, 8.5, 8.0, 9.0, 6.0, 6.5, 7.0, 8.0, 9.0, 8.5, 9.0, 8.0, 8.5, 0.0, 8.0, 8.0, 9.0, 8.0, 7.5, '-', 6.0, 8.5, 7.5, 8.5, 2.0, 8.5, 8.0, '-', 7.5, 8.5, 7.5, 8.0, 8.0, '-', 0.0, '-', 8.0, '-', 5.5, 9.5, '-', 9.5, 8.5, '-', 3.0, 8.0, 9.0, '-', '-', 7.5, 8.0, 7.0, 8.5, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
1009,msb2,Matthias Bluebaum,,3047,363,"[6.0, 9.5, 5.0, 5.0, 8.0, 6.0, '-', 9.5, 8.0, 2.0, '-', 9.0, 4.5, 8.5, 4.5, 8.0, 5.0, 5.0, 8.5, 7.5, 6.0, 9.0, 7.5, 7.5, 8.0, 6.0, '-', 7.0, 8.5, 5.0, 7.0, 7.5, 6.5, 8.0, 8.5, 5.5, 9.0, 3.0, 3.5, 9.5, '-', 8.0, 8.0, 7.0, '-', 4.5, '-', 2.0, 7.0, 6.5, '-', 6.0, 5.5, 9.0, 9.0, 9.0, 5.5, 8.5, 7.5, 8.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
366,dropstonedp,David Paravyan,https://images.chesscomfiles.com/uploads/v1/user/69192934.19df0418.200x200o.5839b2717eb5.jpeg,3014,353.5,"[8.5, 6.0, 6.0, 9.0, 8.5, 8.5, '-', 3.0, 0.0, 5.0, 3.5, 8.5, 5.0, 8.5, 6.5, 8.5, 7.5, 7.5, '-', 3.0, '-', 5.5, 9.0, 5.0, 5.0, 10.0, '-', 8.5, 9.0, 8.0, 7.0, 9.0, 6.0, 7.0, 8.5, 4.5, '-', 6.0, 2.0, 6.0, 6.5, 5.5, 2.5, 7.0, 8.5, 8.5, 9.0, 9.0, 8.5, 9.5, 8.5, '-', 8.0, 8.0, '-', 8.5, '-', 9.0, '-', 8.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
759,jospem,Jose Eduardo Martinez Alcantara,https://images.chesscomfiles.com/uploads/v1/user/26867272.ae9f1c80.200x200o.8b42d2759267.jpg,2968,350,"[8.5, 9.0, 3.0, 9.0, 5.5, 7.5, '-', 7.0, '-', '-', '-', 4.5, '-', '-', 4.0, 7.5, '-', 8.0, '-', 8.0, 7.5, 8.0, '-', 7.5, 9.0, 7.0, 9.0, 6.0, 4.5, 8.5, '-', 7.5, 6.0, 9.0, 8.0, '-', 3.5, 9.0, 9.0, 8.0, 6.5, 8.5, 7.5, '-', 9.0, 8.0, 0.0, 7.0, 8.0, 9.0, 9.0, 9.5, 7.0, 9.0, '-', 8.5, 8.5, 9.0, 8.5, 9.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
985,mishanick,Aleksei Sarana,https://images.chesscomfiles.com/uploads/v1/user/17860442.d25fa08e.200x200o.81d6cc6b6581.png,3078,348.5,"[8.0, 3.5, 8.0, 8.5, 9.0, 8.0, '-', 4.0, 8.0, 0.0, '-', '-', 8.5, 8.0, 8.5, 7.0, 7.0, 7.5, '-', '-', 7.5, 8.0, 7.0, 9.0, 8.0, 8.5, '-', '-', 10.0, 7.0, 8.0, 8.5, 8.0, 9.5, 8.0, 8.5, 8.0, 9.5, 8.5, 8.0, 8.0, 8.5, '-', 8.5, '-', 7.0, 7.5, 7.5, '-', '-', 9.0, '-', 8.0, '-', '-', 8.5, 7.0, '-', 8.0, 8.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
210,byniolus,Zbigniew Pakleza,https://images.chesscomfiles.com/uploads/v1/user/18283748.11266d99.200x200o.92e540d2ccbf.jpeg,2760,323.5,"[7.5, 6.5, 7.0, 4.0, 7.5, 8.5, '-', 5.5, 6.5, 7.5, 7.0, 6.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 6.5, 7.0, 7.5, 7.0, 7.5, 7.0, 6.0, 5.5, 7.0, 7.0, '-', '-', 7.5, 7.0, 5.0, 8.0, '-', 7.5, 7.5, 6.5, '-', 7.0, '-', 5.5, 7.0, 7.5, 5.5, 7.0, 6.0, '-', '-', 7.5, '-', '-', 7.0, '-', 4.0, '-', 7.0, 7.0, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
1122,polish_fighter3000,Jan-Krzysztof Duda,https://images.chesscomfiles.com/uploads/v1/user/47485766.de241c41.200x200o.7b706ebf58e7.jpeg,3045,314,"[10.0, 3.0, 9.0, 8.5, 5.5, 9.0, '-', '-', 6.0, 8.5, '-', 7.0, '-', '-', '-', '-', 9.5, 8.5, 9.0, 7.0, '-', 9.5, 7.5, 8.0, 8.0, 8.0, 9.5, 9.0, 9.0, 7.5, '-', 8.0, 8.5, 8.0, 9.5, 9.0, '-', '-', '-', '-', '-', 8.0, 8.5, 8.5, 7.0, 8.0, 6.5, 9.5, '-', '-', '-', '-', '-', '-', '-', 7.5, 6.0, 7.5, 9.0, 8.5, '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-', '-']"
